species,MLD,north,south
cornus,PV,35,-22
margariticola,PV,27,-25
rugosa,PV,27,-25
granulata,PV,27,-25
marginalba,PV,-25,-38
paivae,DD,-18,-44
scobina,DD,-34,-47
vinosum,DD,-32,-44
lacunosum,DD,-35,-51
brandaris,DD,42,21
brunneus,PV,35,-35
ramosus,PV,45,-30
torrefactus,PV,45,-30
trunculus,DD,28,43
occa,DD,15,-10
trapa,LV,45,-15
pomum,DD,35,-4
salebrosa,PV,28,-8
monodon,DD,-27,-42
paucilirata,DD,40,25
spirata,DD,47.5,31.3
rorifluum,DD,42,30
giganteus,LV,-23,-39
angelica,DD,32,28
lugubris,DD,32.3,24.3
canaliculata,DD,52,36
lamellosa,DD,52,34
lapillus,DD,60.7,40.8
erinaceus,DD,52,36
aciculata,DD,53,30
cinerea,DD,46,27.7
perrugata,DD,30.3,25
cassidiformis,PV,0,-42
concholepas,PV,-5,-54
orbita,PV,-25,-44
pansa,PV,27,-6
persica,PV,27,-25
venosa,PV,45,-35
chocolata,PV,-5,-33
haemastoma,PV,37.1,-35
rustica,PV,32.3,-23
clavigera,PV,10,-10
lacera,PV,36,-8
geversianus,DD,-32,-55
